,COUNTY_NAME,datetime,Humidity,Pressure,Temperature,Wind_direction,Wind_speed
3403,New York,2015-9-16,65.95833333,1025.9583333333333,294.67583333333334,237.16666666666663,1.5416666666666667
3404,New York,2015-9-17,66.83333333,1022.0,295.5083333333333,213.625,1.9583333333333333
3405,New York,2015-9-17,66.83333333,1022.0,295.5083333333333,213.625,1.9583333333333333
3406,New York,2015-9-17,66.83333333,1022.0,295.5083333333333,213.625,1.9583333333333333
3407,New York,2015-9-17,66.83333333,1022.0,295.5083333333333,213.625,1.9583333333333333
3408,New York,2015-9-18,67.54166667,1017.5416666666665,295.4274999999999,207.125,2.2916666666666665
3409,New York,2015-9-18,67.54166667,1017.5416666666665,295.4274999999999,207.125,2.2916666666666665
3410,New York,2015-9-19,76.91666667,1014.2916666666665,294.8016666666667,193.33333333333331,2.6666666666666665
3411,New York,2015-9-19,76.91666667,1014.2916666666665,294.8016666666667,193.33333333333331,2.6666666666666665
3412,New York,2015-9-20,66.625,1014.2916666666665,295.15125000000006,172.91666666666663,3.5416666666666665
3413,Houston,2015-9-25,74.375,1016.7916666666665,299.5050833916667,225.58333333333331,1.7916666666666667
3414,New York,2015-9-25,68.75,1027.25,292.0625,87.375,3.458333333333333
3415,New York,2015-9-25,68.75,1027.25,292.0625,87.375,3.458333333333333
3416,New York,2015-9-25,68.75,1027.25,292.0625,87.375,3.458333333333333
3417,New York,2015-9-26,65.45833333,1029.25,290.495323825,75.375,3.8333333333333335
3418,New York,2015-9-26,65.45833333,1029.25,290.495323825,75.375,3.8333333333333335
3419,New York,2015-9-26,65.45833333,1029.25,290.495323825,75.375,3.8333333333333335
3420,New York,2015-9-28,77.125,1023.7916666666665,292.7916666666667,90.29166666666669,2.208333333333333
3421,New York,2015-9-28,77.125,1023.7916666666665,292.7916666666667,90.29166666666669,2.208333333333333
3422,New York,2015-9-28,77.125,1023.7916666666665,292.7916666666667,90.29166666666669,2.208333333333333
3423,New York,2015-9-29,82.0,1018.125,295.6170833333333,134.20833333333334,2.333333333333333
3424,Houston,2015-10-14,41.70833333,1018.3333333333335,296.7597404500001,112.375,1.8333333333333333
3425,New York,2015-10-14,71.16666667,1005.9583333333335,289.0525,275.4583333333333,2.958333333333333
3426,New York,2015-10-19,66.33333333,1030.0416666666667,277.1041666666667,296.7916666666667,2.708333333333333
3427,New York,2015-10-19,66.33333333,1030.0416666666667,277.1041666666667,296.7916666666667,2.708333333333333
3428,New York,2015-10-23,49.625,1021.8333333333335,287.74708333333325,245.625,3.8333333333333335
3429,New York,2015-11-1,69.16666667,1015.9166666666665,285.20649298333336,206.70833333333331,3.4166666666666665
