,STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
2994,AZ,Phoenix,2015-8-16,9,Miscellaneous,229.0,B,34.2897,-112.1235,27.70833333
2995,AZ,Phoenix,2015-8-11,1,Lightning,237.0,C,33.01,-113.1519,36.41666667
2996,AZ,Phoenix,2015-10-4,9,Miscellaneous,278.0,A,33.9442,-112.1408,30.16666667
2997,AZ,Phoenix,2015-12-18,9,Miscellaneous,353.0,A,33.8386,-112.3333,48.58333333
2998,AZ,Phoenix,2015-4-28,9,Miscellaneous,121.0,B,33.9831,-112.1664,38.08333333
2999,AZ,Phoenix,2015-5-29,9,Miscellaneous,150.0,A,32.850203,-112.383567,25.375
3000,AZ,Phoenix,2015-6-5,13,Missing/Undefined,159.0,B,33.9194,-112.79,43.25
3001,AZ,Phoenix,2015-6-15,13,Missing/Undefined,167.0,B,32.522859999999994,-112.8792,25.08333333
3002,MN,Minneapolis,2015-4-11,13,Missing/Undefined,102.0,B,44.8285,-93.2492,64.04166667
3003,MN,Minneapolis,2015-3-31,12,Structure,91.0,C,44.848989,-93.369095,79.125
3004,NY,New York,2015-5-4,1,Lightning,125.0,B,40.863,-73.9334,39.125
3005,NY,New York,2015-5-4,1,Lightning,125.0,A,40.8427,-73.94,39.125
3006,NY,New York,2015-5-5,1,Lightning,126.0,A,40.721,-73.9808,35.58333333
3007,NY,New York,2015-5-5,1,Lightning,126.0,A,40.8411,-73.9398,35.58333333
3008,FL,Jacksonville,2015-5-12,1,Lightning,134.0,B,30.3636,-81.8207,71.04166667
3009,FL,Jacksonville,2015-5-13,1,Lightning,134.0,B,30.3385,-81.88600000000001,74.45833333
3010,FL,Jacksonville,2015-5-14,1,Lightning,135.0,C,30.2345,-81.8467,78.375
3011,FL,Jacksonville,2015-5-15,1,Lightning,136.0,B,30.3119,-81.9227,89.54166667
3012,FL,Jacksonville,2015-5-21,1,Lightning,142.0,C,30.1468,-81.547,81.33333333
3013,FL,Jacksonville,2015-5-21,1,Lightning,144.0,B,30.4258,-81.5625,81.33333333
3014,FL,Jacksonville,2015-5-21,1,Lightning,145.0,C,30.5309,-81.6293,81.33333333
3015,FL,Jacksonville,2015-6-1,1,Lightning,153.0,B,30.1606,-81.5061,78.75
3016,FL,Jacksonville,2015-6-2,1,Lightning,154.0,B,30.3393,-81.8857,78.04166667
3017,FL,Jacksonville,2015-6-8,1,Lightning,161.0,B,30.1353,-81.4681,75.45833333
3018,FL,Jacksonville,2015-6-10,1,Lightning,162.0,C,30.235,-81.4695,89.625
3019,FL,Jacksonville,2015-6-11,1,Lightning,165.0,C,30.2254,-81.4632,87.70833333
3020,FL,Jacksonville,2015-6-14,1,Lightning,166.0,B,30.4407,-81.535,70.20833333
3021,FL,Jacksonville,2015-6-17,1,Lightning,169.0,C,30.4469,-81.8348,63.20833333
3022,FL,Jacksonville,2015-6-17,1,Lightning,169.0,B,30.2014,-81.7066,63.20833333
3023,FL,Jacksonville,2015-6-17,1,Lightning,169.0,B,30.2368,-81.6858,63.20833333
3024,FL,Jacksonville,2015-6-18,1,Lightning,170.0,B,30.2639,-81.9658,65.08333333
3025,FL,Jacksonville,2015-6-19,1,Lightning,171.0,B,30.3664,-81.9317,71.66666667
3026,FL,Jacksonville,2015-6-20,1,Lightning,173.0,B,30.3211,-81.5022,70.5
3027,FL,Jacksonville,2015-6-21,1,Lightning,173.0,B,30.5197,-81.4835,81.41666667
3028,FL,Jacksonville,2015-6-21,1,Lightning,173.0,B,30.2221,-81.4765,81.41666667
3029,FL,Jacksonville,2015-6-20,1,Lightning,173.0,C,30.4368,-81.528,70.5
3030,FL,Jacksonville,2015-6-22,1,Lightning,174.0,B,30.1682,-81.4797,73.95833333
3031,FL,Miami,2015-7-28,1,Lightning,,B,25.8118,-80.3951,69.08333333
3032,FL,Miami,2015-6-30,1,Lightning,184.0,C,25.7999,-80.4322,70.66666667
3033,FL,Jacksonville,2015-7-3,1,Lightning,185.0,B,30.221999999999998,-81.4771,59.41666667
3034,FL,Miami,2015-7-2,1,Lightning,187.0,D,25.9432,-80.4382,64.29166667
3035,FL,Miami,2015-7-4,1,Lightning,188.0,B,25.7574,-80.4627,68.04166667
3036,FL,Jacksonville,2015-7-10,1,Lightning,192.0,B,30.3014,-81.4881,60.95833333
3037,FL,Jacksonville,2015-7-10,1,Lightning,192.0,B,30.4861,-81.532,60.95833333
3038,FL,Miami,2015-6-29,1,Lightning,193.0,C,25.5374,-80.3476,73.29166667
3039,FL,Miami,2015-7-11,1,Lightning,193.0,C,25.6135,-80.5184,61.41666667
3040,FL,Jacksonville,2015-7-12,1,Lightning,194.0,B,30.206,-82.0172,66.08333333
3041,FL,Miami,2015-7-12,1,Lightning,195.0,D,25.8213,-80.4541,65.41666667
3042,FL,Miami,2015-7-13,1,Lightning,195.0,B,25.441999999999997,-80.543,64.625
3043,FL,Jacksonville,2015-7-13,1,Lightning,196.0,B,30.46,-81.488,67.25
3044,FL,Miami,2015-7-14,1,Lightning,197.0,C,25.3899,-80.5022,66.45833333
3045,FL,Miami,2015-7-12,1,Lightning,197.0,E,25.8404,-80.4448,65.41666667
3046,FL,Miami,2015-7-16,1,Lightning,198.0,C,25.6045,-80.4074,75.58333333
3047,FL,Jacksonville,2015-7-16,1,Lightning,199.0,C,30.1813,-81.5172,72.125
3048,FL,Jacksonville,2015-8-4,1,Lightning,217.0,B,30.5672,-81.6197,80.33333333
3049,FL,Miami,2015-8-1,1,Lightning,221.0,B,25.9548,-80.3538,72.5
3050,FL,Miami,2015-8-7,1,Lightning,225.0,D,25.7651,-80.4724,65.83333333
3051,FL,Miami,2015-8-17,1,Lightning,234.0,F,25.9556,-80.4504,72.54166667
3052,FL,Miami,2015-8-21,1,Lightning,235.0,D,25.3709,-80.5252,70.875
3053,WA,Seattle,2015-8-13,1,Lightning,254.0,A,47.7527,-120.0786,66.16666667
3054,FL,Miami,2015-9-13,1,Lightning,258.0,C,25.7273,-80.4554,75.08333333
3055,FL,Miami,2015-10-8,1,Lightning,282.0,B,25.3587,-80.4238,82.375
3056,FL,Miami,2015-10-10,1,Lightning,285.0,B,25.7677,-80.6724,76.625
3057,FL,Jacksonville,2015-11-3,1,Lightning,308.0,B,30.195,-81.7115,81.0
3058,TX,Dallas,2015-9-8,1,Lightning,,A,32.851821799999996,-96.72234379,53.25
3059,PA,Pittsburgh,2015-4-5,10,Fireworks,96.0,B,40.41583,-80.18528,51.125
3060,FL,Miami,2015-7-3,10,Fireworks,186.0,C,25.7203,-80.4633,65.95833333
3061,TX,Houston,2015-3-28,11,Powerline,88.0,B,31.44906667,-95.60888333,52.04166667
3062,TX,Houston,2015-10-7,11,Powerline,,B,31.543337,-95.408417,73.08333333
3063,TX,Houston,2015-1-31,11,Powerline,,B,31.367270399999995,-95.5040303,62.08333333
3064,FL,Miami,2015-1-3,2,Equipment Use,3.0,B,25.638,-80.4921,79.70833333
3065,FL,Miami,2015-1-31,2,Equipment Use,32.0,C,25.3677,-80.4132,75.70833333
3066,TX,Houston,2015-3-27,2,Equipment Use,87.0,C,31.23583333,-95.44896667,63.375
3067,FL,Miami,2015-4-12,2,Equipment Use,103.0,B,25.4559,-80.5007,77.33333333
3068,FL,Miami,2015-4-15,2,Equipment Use,108.0,C,25.9133,-80.3652,72.125
3069,FL,Miami,2015-4-18,2,Equipment Use,113.0,C,25.7618,-80.5975,74.29166667
3070,NY,New York,2015-4-22,2,Equipment Use,113.0,A,40.8384,-73.9417,61.29166667
3071,FL,Miami,2015-4-18,2,Equipment Use,118.0,F,25.7545,-80.4535,74.29166667
3072,FL,Jacksonville,2015-5-2,2,Equipment Use,123.0,B,30.245,-81.8279,66.54166667
3073,FL,Miami,2015-6-26,2,Equipment Use,178.0,C,25.4172,-80.523,72.04166667
3074,TX,Houston,2015-7-31,2,Equipment Use,213.0,B,31.1398,-95.4825,71.375
3075,FL,Miami,2015-8-5,2,Equipment Use,218.0,B,25.8351,-80.4832,68.125
3076,TX,Houston,2015-8-27,2,Equipment Use,240.0,C,31.40278333,-95.66581667,69.33333333
3077,TX,Dallas,2015-1-5,2,Equipment Use,,A,32.854856899999994,-96.6499298,90.20833333
3078,TX,Dallas,2015-1-5,2,Equipment Use,,B,32.714033,-96.6847139,90.20833333
3079,TX,Dallas,2015-1-7,2,Equipment Use,,A,32.8203693,-96.8412496,75.45833333
3080,TX,Dallas,2015-1-7,2,Equipment Use,,A,32.7465181,-96.75358299999999,75.45833333
3081,TX,Dallas,2015-1-9,2,Equipment Use,,A,32.771973100000004,-96.91613139,76.375
3082,TX,Dallas,2015-1-9,2,Equipment Use,,A,32.922992699999995,-96.87171590000001,76.375
3083,TX,Dallas,2015-1-15,2,Equipment Use,,A,32.7109709,-96.700017,79.33333333
3084,TX,Dallas,2015-1-18,2,Equipment Use,,A,32.773961699999994,-96.78891729,65.66666667
3085,TX,Dallas,2015-1-18,2,Equipment Use,,A,32.647695,-96.8524429,65.66666667
3086,TX,Dallas,2015-1-30,2,Equipment Use,,A,32.907799100000005,-96.81400140000001,52.125
3087,TX,Dallas,2015-1-30,2,Equipment Use,,A,32.9112066,-96.7731979,52.125
3088,TX,Dallas,2015-7-17,2,Equipment Use,,B,32.6802725,-96.6774613,53.75
3089,TX,Dallas,2015-7-18,2,Equipment Use,,A,32.674734,-96.78460389,56.54166667
3090,TX,Dallas,2015-7-18,2,Equipment Use,,A,32.8365896,-96.810916,56.54166667
3091,TX,Dallas,2015-7-19,2,Equipment Use,,A,32.768636,-96.7924309,54.41666667
3092,TX,Dallas,2015-7-19,2,Equipment Use,,A,32.721057699999996,-96.78487139,54.41666667
3093,TX,Dallas,2015-7-20,2,Equipment Use,,A,32.6533646,-96.7575488,50.58333333
3094,TX,Dallas,2015-7-21,2,Equipment Use,,A,32.916278000000005,-96.7621209,51.58333333
3095,TX,Dallas,2015-7-25,2,Equipment Use,,A,32.8878899,-96.9163375,49.33333333
3096,TX,Dallas,2015-7-26,2,Equipment Use,,A,32.7741158,-96.91656,50.125
3097,TX,Dallas,2015-7-26,2,Equipment Use,,A,32.7670153,-96.80301309,50.125
3098,TX,Dallas,2015-7-27,2,Equipment Use,,A,32.7436577,-96.7533647,47.83333333
3099,TX,Dallas,2015-7-28,2,Equipment Use,,A,32.732956,-96.91915919,47.33333333
3100,TX,Dallas,2015-7-28,2,Equipment Use,,A,32.7633632,-96.70062759,47.33333333
3101,TX,Dallas,2015-7-30,2,Equipment Use,,A,32.7464309,-96.81184559,40.58333333
3102,TX,Dallas,2015-7-31,2,Equipment Use,,A,32.766513399999994,-96.86153639,52.58333333
3103,TX,Dallas,2015-8-5,2,Equipment Use,,A,32.7102636,-96.7281027,49.0
3104,TX,Dallas,2015-8-5,2,Equipment Use,,A,32.6482825,-96.87909179,49.0
3105,TX,Dallas,2015-8-6,2,Equipment Use,,A,32.7462583,-96.7569575,44.83333333
3106,TX,Dallas,2015-8-6,2,Equipment Use,,A,32.721057699999996,-96.78487139,44.83333333
3107,TX,Dallas,2015-8-7,2,Equipment Use,,A,32.81157,-96.790219,43.5
3108,TX,Dallas,2015-8-7,2,Equipment Use,,A,32.686191,-96.84847189,43.5
3109,TX,Dallas,2015-8-8,2,Equipment Use,,A,32.7156164,-96.6999875,45.41666667
3110,TX,Dallas,2015-8-8,2,Equipment Use,,A,32.8077213,-96.86914809,45.41666667
3111,TX,Dallas,2015-8-11,2,Equipment Use,,A,32.854836,-96.680909,43.16666667
3112,TX,Dallas,2015-8-11,2,Equipment Use,,A,32.7749827,-96.78931429999999,43.16666667
3113,TX,Dallas,2015-8-12,2,Equipment Use,,A,32.7102636,-96.7281027,47.29166667
3114,TX,Dallas,2015-8-13,2,Equipment Use,,A,32.8868059,-96.8364228,45.79166667
3115,TX,Dallas,2015-8-15,2,Equipment Use,,A,32.6878577,-96.82455349,40.29166667
3116,TX,Dallas,2015-8-16,2,Equipment Use,,A,32.7769282,-96.78740090000001,42.45833333
3117,TX,Dallas,2015-8-18,2,Equipment Use,,A,32.8263976,-96.7835202,49.0
3118,TX,Dallas,2015-8-20,2,Equipment Use,,A,32.7749827,-96.78931429999999,77.5
3119,TX,Dallas,2015-8-20,2,Equipment Use,,A,32.9455857,-96.822405,77.5
3120,TX,Dallas,2015-8-23,2,Equipment Use,,A,32.9243407,-96.71767679,58.70833333
