STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
CA,San Diego,2012-7-18,7,Arson,200,B,34.43666667,-118.3225,
CA,San Diego,2012-8-30,1,Lightning,243,A,34.35444444,-117.685,
CA,San Diego,2012-11-3,2,Equipment Use,308,A,34.50472222,-118.6277778,
CA,San Diego,2012-8-11,1,Lightning,229,A,34.32277778,-117.6916667,
CA,San Diego,2012-9-6,2,Equipment Use,251,A,34.36222222,-118.3872222,
CA,San Diego,2012-5-20,2,Equipment Use,141,B,34.7525,-118.6019444,
CA,San Diego,2012-11-4,7,Arson,309,A,34.19333333,-117.865,
CA,San Diego,2012-11-3,2,Equipment Use,308,B,34.50333333,-118.6277778,
CA,San Diego,2012-5-22,7,Arson,143,A,34.58555556,-118.7147222,
CA,San Diego,2012-6-23,9,Miscellaneous,175,C,34.45,-117.7019444,
CA,San Diego,2012-1-12,2,Equipment Use,12,A,34.50444444,-118.245,
CA,San Diego,2012-4-24,5,Debris Burning,116,A,34.21916667,-118.145,
CA,San Diego,2012-8-11,1,Lightning,224,A,34.45222222,-117.9891667,
CA,San Diego,2012-6-17,7,Arson,169,A,34.18027778,-117.8811111,
CA,San Diego,2012-10-26,9,Miscellaneous,300,A,34.41388889,-118.5191667,
CA,San Diego,2012-12-7,2,Equipment Use,342,A,34.53527778,-118.5225,
CA,San Diego,2012-6-8,2,Equipment Use,161,E,34.53111111,-118.6508333,
CA,San Diego,2012-3-6,2,Equipment Use,66,A,34.495,-118.2147222,
CA,San Diego,2012-10-27,9,Miscellaneous,301,A,34.4975,-118.2652778,
CA,San Diego,2012-7-10,2,Equipment Use,192,A,34.24194444,-118.1888889,
CA,San Diego,2012-9-9,1,Lightning,253,A,34.35916667,-117.9872222,
CA,San Diego,2012-8-11,1,Lightning,225,A,34.33305556,-117.71,
CA,San Diego,2012-7-7,9,Miscellaneous,189,A,34.74666667,-118.7952778,
CA,San Diego,2012-8-9,1,Lightning,222,B,34.38861111,-117.9686111,
CA,San Diego,2012-10-2,2,Equipment Use,276,B,34.29111111,-118.4041667,
CA,San Diego,2012-8-11,1,Lightning,229,A,34.31972222,-117.6877778,
CA,San Diego,2012-3-4,2,Equipment Use,64,A,34.49777778,-118.2586111,
CA,San Diego,2012-8-11,1,Lightning,224,A,34.47,-117.9752778,
CA,San Diego,2012-5-26,4,Campfire,148,A,34.32388889,-117.835,
CA,San Diego,2012-9-22,7,Arson,266,C,34.73583333,-118.7055556,
CA,San Diego,2012-3-5,2,Equipment Use,65,A,34.49277778,-118.2086111,
CA,San Diego,2012-9-28,2,Equipment Use,272,A,34.49666667,-118.2711111,
CA,San Diego,2012-10-27,9,Miscellaneous,301,A,34.44527778,-117.8522222,
CA,San Diego,2012-7-31,9,Miscellaneous,213,C,34.55694444,-118.1511111,
CA,San Diego,2012-1-12,2,Equipment Use,12,A,34.58083333,-118.7038889,
CA,San Diego,2012-6-11,7,Arson,163,B,34.22777778,-118.1783333,
CA,San Diego,2012-6-22,2,Equipment Use,174,A,34.64972222,-118.7536111,
CA,San Diego,2012-1-29,2,Equipment Use,29,A,34.60222222,-118.6702778,
CA,San Diego,2012-11-5,2,Equipment Use,310,A,34.55027778,-118.6694444,
CA,San Diego,2012-3-3,2,Equipment Use,63,A,34.195,-118.0236111,
CA,San Diego,2012-7-18,3,Smoking,200,A,34.56305556,-118.4002778,
CA,San Diego,2012-8-15,2,Equipment Use,228,A,34.50361111,-118.2408333,
CA,San Diego,2012-5-13,2,Equipment Use,134,B,34.70138889,-118.7930556,
CA,San Diego,2012-11-22,9,Miscellaneous,327,A,34.49166667,-118.2836111,
CA,San Diego,2012-5-28,2,Equipment Use,149,A,34.52944444,-118.5091667,
CA,San Diego,2012-3-9,9,Miscellaneous,69,A,34.4675,-118.1958333,
CA,San Diego,2012-10-13,5,Debris Burning,287,A,34.61305556,-118.4030556,
CA,San Diego,2012-9-12,1,Lightning,257,A,34.33,-117.8475,
CA,San Diego,2012-8-30,1,Lightning,243,A,34.46527778,-117.9166667,
CA,San Diego,2012-8-12,4,Campfire,225,A,34.21638889,-117.6694444,
CA,San Diego,2012-9-30,4,Campfire,275,B,34.27083333,-118.3077778,
CA,San Diego,2012-12-5,2,Equipment Use,340,A,34.47361111,-118.3094444,
CA,San Diego,2012-10-26,9,Miscellaneous,300,A,34.48944444,-118.2563889,
CA,San Diego,2012-5-15,2,Equipment Use,136,A,34.57833333,-118.7013889,
CA,San Diego,2012-6-2,2,Equipment Use,154,B,34.33611111,-118.5061111,
CA,San Diego,2012-4-4,4,Campfire,95,A,34.28555556,-118.2216667,
CA,San Diego,2012-8-3,1,Lightning,216,A,34.54722222,-118.6761111,
CA,San Diego,2012-7-3,9,Miscellaneous,185,D,34.5825,-118.2233333,
CA,San Diego,2012-6-6,2,Equipment Use,158,A,34.14666667,-118.0355556,
CA,San Diego,2012-11-5,2,Equipment Use,310,B,34.6,-118.7166667,
CA,San Diego,2012-11-22,9,Miscellaneous,327,A,34.4925,-118.1919444,
CA,San Diego,2012-6-11,2,Equipment Use,163,A,34.58083333,-118.7066667,
CA,San Diego,2012-12-20,2,Equipment Use,355,A,34.29,-118.1875,
CA,San Diego,2012-8-11,1,Lightning,224,A,34.46527778,-117.9711111,
CA,San Diego,2012-6-18,8,Children,170,A,34.50583333,-118.1938889,
CA,San Diego,2012-4-10,2,Equipment Use,101,A,34.50472222,-118.2513889,
