,Country_name,datetime,humiditie,pressure,temperature,wind_direction,wind_speed
49,San Francisco,2016-6-14,72.20833333,1014.5,289.6475000000001,221.875,2.083333333333333
50,Seattle,2016-6-15,68.875,1012.5,283.93333333333334,194.5,1.5416666666666667
51,Albuquerque,2016-6-16,16.25,1004.875,294.53125000000006,250.83333333333331,2.083333333333333
52,Charlotte,2016-6-17,60.5,960.5416666666665,300.27625,212.45833333333331,2.4166666666666665
53,Dallas,2016-6-18,68.66666667,1012.6666666666665,303.62416666666667,155.375,2.5
54,Houston,2016-6-19,73.83333333,1015.8333333333335,300.60541666666666,123.54166666666669,1.25
55,Jacksonville,2016-6-2,62.91666667,1017.2083333333335,300.348247775,175.83333333333337,2.208333333333333
56,Las Vegas,2016-6-20,10.83333333,1005.2083333333335,310.9274999999999,173.58333333333337,0.875
57,Los Angeles,2016-6-21,47.625,1013.0416666666665,302.3833333333334,192.20833333333331,0.6666666666666666
58,Miami,2016-6-22,77.375,1010.5833333333335,299.90124999999995,230.54166666666663,5.75
59,Nashville,2016-6-23,56.20833333,1015.7083333333335,302.40458333333333,228.75,3.6666666666666665
60,New York,2016-6-24,65.95833333,1014.7083333333335,295.93583333333333,38.75,3.5416666666666665
61,Phoenix,2016-6-25,18.54166667,1008.6666666666665,308.62125,173.33333333333337,3.0416666666666665
62,Pittsburgh,2016-6-26,64.91666667,1021.375,297.7220833333334,166.375,2.583333333333333
63,Saint Louis,2016-6-27,62.08333333,1018.1666666666665,301.6625,131.375,1.875
64,San Antonio,2016-6-28,65.20833333,1017.3333333333335,301.65458333333333,141.25,1.75
